price,unit,location,bedrooms,baths,state
"
                                                        ₦3,000,000                                                    ",,Opebi Oregun Link Rd Ikeja          ,,,Lagos
"
                                                        ₦1,500,000                                                    ",, Crystal Estate Ilupeju        ,,,Lagos
"
                                                        ₦3,000,000                                                    ",,Crystal Estate Ilupeju,,,Lagos
"
                                                        ₦5,000,000                                                    ",,Soji Adepegbe Close Off Allen Avenue,,,Lagos
"
                                                        ₦2,500,000                                                    ",,"In A Serene Street Off Palace Off , Ikate Lekki",,,Lagos
"
                                                        ₦3,000,000                                                    ",,Admiralty Way.,,,Lagos
"
                                                        ₦4,000,000                                                    ",,"In A Gated, Serene And Paved Estate Behind Prime Water View Estate, Lekki Lagos",,,Lagos
"
                                                        ₦10,000,000                                                    ",, Agidingbi Road (After Coca- Cola),,,Lagos
"
                                                        ₦900,000                                                    ",,Off Addo Road,,,Lagos
"
                                                        ₦400,000                                                    ",,Off Addo Road,,,Lagos
"
                                                        ₦1,100,000                                                    ",,In An Estate Off Addo Road,,,Lagos
Price on call,, Oniru,,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦2,500,000                                                    ",, Ikota Estate,,,Lagos
"
                                                        ₦500,000                                                    ",,Ibeju Just After Eleganza,,,Lagos
"
                                                        ₦2,200,000                                                    ",, Ikota Estate,,,Lagos
"
                                                        ₦3,000,000                                                    ",,In An Estate Behind Shoprite Jakande,,,Lagos
"
                                                        ₦130,000                                                    ",,Ibeju,,,Lagos
"
                                                        ₦2,500,000                                                    ",,Ikota Estate,,,Lagos
"
                                                        ₦2,000,000                                                    ",,x In An Estate @ Ikota,,,Lagos
"
                                                        ₦3,500,000                                                    ",,Apapa Gra:,,,Lagos
"
                                                        ₦3,500,000                                                    ",,Elegushi,,,Lagos
"
                                                        ₦7,500,000                                                    ",,Lekki Rhs ,,,Lagos
"
                                                        ₦8,000,000                                                    ",,Ikoyi,,,Lagos
"
                                                        ₦160,000                                                    ",," Sherikon Bus-Stop, Near Olambe Junction, Ogun State",,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦200,000                                                    ",,"Amubiaya, Oke-Aro",,,Lagos
"
                                                        ₦250,000                                                    ",,"Amubiaya, Oke-Aro.",,,Lagos
"
                                                        ₦300,000                                                    ",,"Oke-Aro, Ogun State.",,,Lagos
"
                                                        ₦250,000                                                    ",,"Yidi Bus Stop, Agbado. ",,,Lagos
"
                                                        ₦280,000                                                    ",," Igando Town, Lagos State. ",,,Lagos
"
                                                        ₦1,000,000                                                    ",,"Badore, Ajah",,,Lagos
"
                                                        ₦250,000                                                    ",,Ota Near Toll Gate Upstairs.,,,Lagos
Price on call,,Yewande Oke- Aro,,,Lagos
"
                                                        ₦600,000                                                    ",,"Opebi Road, Ikeja.",,,Lagos
"
                                                        ₦800,000                                                    ",,"Opebi Road, Ikeja ",,,Lagos
"
                                                        ₦50,000                                                    ",, OFF ALLEN AV ,,,Lagos
Price on call,,CHEVRON ALTERNATIVE ROUTE,,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦3,500,000                                                    ",, LEKKI PH ,,,Lagos
"
                                                        ₦500,000                                                    ",,"ALONG IJU RD, BALOGUN B/STOP",,,Lagos
"
                                                        ₦450,000                                                    ",,DADDY SAVAGE ST FAGBA,,,Lagos
