price,unit,location,bedrooms,baths,parking_lots,state
"1,500,000", per annum,"  Majek, Sangotedo, Ajah, Lagos",4,4,4,
"1,000,000", per annum,"  Femi Okunne Phase 1, Osapa, Lekki, Lagos",,,,
"1,200,000", per annum,"  Zainab Funke Street Freedom Way, Lekki Phase 1, Lekki, Lagos",1,1,1,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"850,000", per annum,"  Sangotedo, Ajah, Lagos",3,3,3,
"2,300,000", per annum,"  Ikate Elegushi, Lekki, Lagos",3,2,,
"43,000,000", per annum,"  Westend Estate, Ikota Villa Estate, Lekki, Lagos",4,4,3,
"2,400,000", per annum,"  Victoria Crest, Lafiaji, Lekki, Lagos",4,4,3,
"350,000", per annum,"  Finbar's Road, Akoka, Yaba, Lagos",1,1,9,
"4,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,,
"850,000", per annum,"  Badore, Ajah, Lagos",2,3,,
"1,100,000", per annum,"  Sangotedo, Ajah, Lagos",3,3,1,
"1,200,000", per annum,"  Sangotedo, Ajah, Lagos",4,4,1,
"800,000", per annum,"  Off Herbert Macaulay, Sabo, Yaba, Lagos",2,2,2,
"2,000,000", per annum,"  Sangotedo, Ajah, Lagos",5,5,1,
"900,000", per annum,"  Olokonla, Ajah, Lagos",2,2,,
"450,000", per annum,"  Praisehill Estate, Berger, Arepo, Ogun",2,2,,
"40,000", per square meter / per annum,"  Facing Lekki Epe Express, Lekki Phase 1, Lekki, Lagos",,,,
"2,000,000", per annum,"  Olokonla, Ajah, Lagos",4,4,,
"1,100,000", per annum,"  Zone B Apo Resettlement, Apo, Abuja",2,2,,
"10,000,000", per annum,"  Nasarawa Street, Banana Island, Ikoyi, Lagos",4,4,,
"4,000,000", per annum,"  Osapa, Lekki, Lagos",4,4,3,
"3,000,000", per annum,"  Ikate Elegushi, Lekki, Lagos",4,4,3,
"2,500,000", per annum,"  Oniru, Victoria Island (VI), Lagos",3,3,,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"3,500,000", per annum,"  Chevron Drive, Lekki, Lagos",4,4,3,
"15,000,000", per annum,"  Wuse 2, Abuja",6,6,,
"900,000", per annum,"  Ikota Villa Estate, Lekki, Lagos",2,1,,
"450,000", per annum,"  Mtn Mast Rd, Ugbor Gra, Benin, Oredo, Edo",2,2,"1,000",
"10,000,000", per annum,"  Engr. Babatope Bejide Street, Lekki Phase 1, Lekki, Lagos",6,6,"1,000",
"1,200,000", per annum,"  Ikota Villa Estate, Lekki, Lagos",2,2,,
"5,000,000", per annum,"  Off Palace Road, Oniru, Victoria Island (VI), Lagos",3,3,2,
"900,000", per annum,"  Aguda, Surulere, Lagos",120,,,
"700,000", per annum,"  Adekunle, Yaba, Lagos",2,1,,
"400,000", per annum,"  Alagomeji, Yaba, Lagos",1,1,1,
"1,800,000", per annum,"  Off Lanre Awolokun Street, Gbagada Phase 2, Gbagada, Lagos",2,2,2,
"1,300,000", per annum,"  Illasa By World Oil Road, Ikate Elegushi, Lekki, Lagos",2,2,,
"4,500,000", per annum,"  Next Cash And Carry Road, Kado, Abuja",4,5,,
"800,000", per annum,"  Ogombo, Ajah, Lagos",3,3,2,
"3,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,4,
"5,000,000", per annum,"  Oniru, Victoria Island (VI), Lagos",5,5,2,
"1,600,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"1,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"150,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,2,
"70,000,000", per annum,"  Oniru, Victoria Island (VI), Lagos",3,3,2,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"5,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",5,5,4,
"5,500,000", per annum,"  Lekki, Lagos",5,5,4,
"15,000,000", per annum,"  Oniru, Victoria Island (VI), Lagos",3,4,2,
"6,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,5,5,
"4,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,2,
"5,500,000", per annum,"  Serviced With Generator, Diplomatic Zones, Abuja",4,5,20,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",5,5,2,
"8,000,000", per annum,"  Vip Exotic Home With  Royal Finishing, Kado, Abuja",5,5,12,
"6,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,4,
"1,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",1,1,1,
"1,300,000", per annum,"  Cooperative Villa Estate, Ajah, Lagos",3,3,3,
"1,100,000", per annum,"  Fagbile Estate, Isheri Osun Near Jakanade Gate, Isolo, Lagos",4,5,400,
"5,000,000", per annum,"  Oniru, Victoria Island (VI), Lagos",4,4,3,
"4,000,000", per annum,"  Ikate Elegushi, Lekki, Lagos",4,4,4,
"5,500,000", per annum,"  Lekki, Lagos",5,5,7,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,3,2,
"5,000,000", per annum,"  Oniru, Victoria Island (VI), Lagos",3,3,1,
"1,700,000", per annum,"  Omole Phase 1, Ikeja, Lagos",3,3,,
"4,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,2,
"70,000,000", per annum,"  Off Bob Boulevard Way, Maitama District, Abuja",6,7,30,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"1,500,000", per annum,"  Estate, Ogba, Ikeja, Lagos",3,3,,
"800,000", per annum,"  Ogombo, Ajah, Lagos",2,2,2,
"850,000", per annum,"  Opposite Agungi, Lekki Expressway, Lekki, Lagos",1,1,1,
"400,000", per annum,"  Idado Extension, Agungi, Lekki, Lagos",1,1,1,
"450,000", per annum,"  Towards Shoprite, Osapa, Lekki, Lagos",1,1,1,
"1,300,000", per annum,"  Gra, Ogba, Ikeja, Lagos",3,3,,
"11,500,000", per annum,"  Old Ikoyi, Ikoyi, Lagos",3,3,,
"2,600,000", per annum,"  Road 16, Ikota Villa Estate, Lekki, Lagos",4,4,6,
"1,000,000", per annum,"  Eleganza Gardens, VGC, Lekki, Lagos",2,2,3,
"2,500,000", per annum,"  Awolowo Road, Falomo, Ikoyi, Lagos",2,,,
"1,500,000", per annum,"  Off Ikorodu Road, Maryland, Lagos",3,2,,
"3,500,000", per annum,"  Beside Chevron, Lekki, Lagos",3,3,3,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",2,2,,
"6,000,000", per annum,"  Parkview, Ikoyi, Lagos",3,3,,
"1,000,000", per annum,"  Off Alpha Beach Road, Igbo Efon, Lekki, Lagos",1,2,,
"1,100,000", per annum,"  Off Alpha Beach Road, Igbo Efon, Lekki, Lagos",2,3,,
"5,000,000", per annum,"  Old Ikoyi, Ikoyi, Lagos",3,4,,
"40,000", per square meter / per annum,"  Along Lekki Expressway, Near Chevron, Lekki Expressway, Lekki, Lagos",16,1,,
"1,100,000", per annum,"  Infinity Estate, Ado, Ajah, Lagos",3,3,2,
"700,000", per annum,"  Off Badore, Before Nnpc Petrol Station, Badore, Ajah, Lagos",2,2,4,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"450,000", per annum,"  Before Lagos Business School, Phase 4, Lekki Gardens Estate, Ajah, Lagos",,,,
"3,000,000", per annum,"  Osapa, Lekki, Lagos",4,4,2,
"600,000", per annum,"  Opposite Agungi, Lekki Expressway, Lekki, Lagos",1,1,1,
"3,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,3,,
"5,000,000", per annum,"  Parkview, Ikoyi, Lagos",4,4,3,
"4,500,000", per annum,"  Off Admiralty Way, Lekki, Lagos",3,3,,
"1,200,000", per annum,"  Agungi, Lekki, Lagos",3,3,2,
"300,000", per annum,"  Osapa, Lekki, Lagos",1,1,,
"600,000", per annum,"  By Conoil Filling Station, Ikate Elegushi, Lekki, Lagos",,,,
"1,800,000", per annum,"  Adewole Kolawole Crescent, Lekki Phase 1, Lekki, Lagos",3,3,3,
"3,000,000", per annum,"  Osapa, Lekki, Lagos",3,3,,
"7,500,000", per annum,"  Off Legal Ayorinde Street, Victoria Island Extension, Victoria Island (VI), Lagos",3,3,2,
"10,000,000", per annum,"  Yakubu Gowon Crescent, Asokoro District, Abuja",480,,,
"2,500,000", per annum,"  Victoria Island (VI), Lagos",1,2,2,
"1,300,000", per annum,"  Alagomeji, Yaba, Lagos",3,2,3,
"3,500,000", per annum,"  Adewole Kolawole, Off Pinnacle Filling Station, Lekki Phase 1, Lekki, Lagos",4,4,3,
"7,000,000", per annum,"  Banana Island, Ikoyi, Lagos",1,1,2,
"2,000,000", per annum,"  Lafiaji, Lekki, Lagos",3,4,,
"800,000", per annum,"  Sangotedo, Ajah, Lagos",3,3,2,
