price,unit,location,bedrooms,baths,parking_lots,state
"
                    ₦ 1 800 000
                ","
                        Per Year
                    ","2 Moleye Street, Yaba, Yaba",3,2,,Lagos
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","PARKVIEW ESTATE, Ikoyi-obalende, Ikoyi-obalende",5,5,,Lagos
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","Chevy view , Lekki, Lekki",3,3,2,Lagos
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","ONIRU, Victoria Island, Lekki",4,4,,Lagos
"
                    ₦ 2 500 000
                ","
                        Per Year
                    ","IKATE, Lekki, Lekki",3,3,,Lagos
"
                    ₦ 420 000
                ","
                        Per Year
                    ","Prefab Extension Owerri, Owerri-municipal, Owerri-municipal",2,2,2,Imo
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","Located Opposite the New Government house Within Concord Hotel Axis, Owerri-municipal, Owerri-municipal",5,5,10,Imo
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","Located Opposite the New Government house Within Concord Hotel Axis, Owerri-municipal, Owerri-municipal",5,5,10,Imo
"
                    ₦ 420 000
                ","
                        Per Year
                    ","Ikenegbu Layout by Wetheral Owerri, Owerri-municipal, Owerri-municipal",1,2,"
                    ",Imo
"
                    ₦ 168 000
                ","
                        Per Year
                    ","Gunning Road, Abakaliki, Abakaliki",,,,Ebonyi
"
                    ₦ 180 000
                ","
                        Per Year
                    ","Afikpo Road, Abakaliki, Abakaliki",,,,Ebonyi
"
                    ₦ 300 000
                ","
                        Per Year
                    ","Hausa Quarters, Abakaliki, Abakaliki",3,3,"
                    ",Ebonyi
"
                    ₦ 300 000
                ","
                        Per Year
                    ","Hausa Quarters, Abakaliki, Abakaliki",3,3,"
                    ",Ebonyi
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",2,2,4,Abuja
"
                    ₦ 20 000 000
                ",,"Asokoro, Asokoro",6,8,20,Abuja
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","Wuse 2, Wuse II, Wuse II",15,15,15,Abuja
"
                    ₦ 8 500 000
                ","
                        Per Year
                    ","Maitama, Maitama",4,4,5,Abuja
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","Guzape, Guzape",3,5,4,Abuja
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,3,3,Abuja
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","Apo, Apo, Abuja",5,8,12,Abuja
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",0,,,Abuja
"
                    ₦ 16 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",2,3,4,Abuja
"
                    ₦ 35 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",6,8,17,Abuja
"
                    ₦ 17 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",1,2,3,Abuja
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",4,5,5,Abuja
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",4,5,4,Abuja
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","Hassan Musa Katsina Road , Asokoro, Asokoro",3,4,3,Abuja
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,3,3,Abuja
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,3,3,Abuja
"
                    ₦ 8 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",3,4,3,Abuja
"
                    ₦ 20 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,4,5,Abuja
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,3,16,Abuja
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","SAIDU CLOSE, BEHIND BECCA APARTMENTS, KATAMPE EXTENSION, ABUJA, Katampe, Katampe",4,6,1,Abuja
"
                    ₦ 11 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",5,6,6,Abuja
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","LEKKI PHASE 1, Lekki, Lekki",4,4,,Lagos
"
                    ₦ 6 500 000
                ","
                        Per Year
                    ","LEKKI PHASE ONE , Lekki, Lekki",5,5,,Lagos
"
                    ₦ 4 000 000
                ","
                        Per Year
                    ","chevy view estate chevron lekki lagos, Lekki, Lekki",5,5,,Lagos
"
                    ₦ 4 000 000
                ","
                        Per Year
                    ","chevy view estate chevron lekki lagos, Lekki, Lekki",5,5,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","ONIRU, Victoria Island, Lekki",2,2,,Lagos
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","ONIRU, Victoria Island, Lekki",3,3,,Lagos
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","IDADO, Lekki, Lekki",4,4,,Lagos
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","IKEJA GRA, Ikeja, Ikeja",3,3,,Lagos
