price,unit,location,bedrooms,baths,state
"
                                                                        ₦6,000,000
                                                                            ",/ yr,Old Ikoyi,4 Beds / 4 Baths Terrace To Rent,,Old Ikoyi
"
                                                                        ₦10,000,000
                                                                            ",/ yr,Banana Island,4 Beds / 4 Baths High Rise To Rent,,Banana Island
"
                                                                        ₦1,200,000
                                                                            ",/ yr,Floodgate Street,2 Beds / 3 Baths Flat To Rent,,Floodgate Street
"
                                                                        ₦3,000,000
                                                                            ",/ yr,Admiralty Estate,4 Beds / 4 Baths Detached To Rent,,Admiralty Estate
"
                                                                        ₦10,000,000
                                                                            ",/ yr,Banana Island,4 Beds / 5 Baths Terrace To Rent,,Banana Island
"
                                                                        ₦25,000,000
                                                                            ",/ yr,Banana Island,6 Beds / 7 Baths Duplex To Rent,,Banana Island
"
                                                                        ₦1,000,000
                                                                            ",/ yr,"Peace Land Estate, Abijo.",3 Beds / 3 Baths Bungalow To Rent,,"Peace Land Estate, Abijo."
"
                                                                        ₦6,500,000
                                                                            ",/ yr,Central Ikoyi,3 Beds / 3 Baths Flat To Rent,,Central Ikoyi
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Ikoyi,3 Beds / 3 Baths Flat To Rent,,Ikoyi
"
                                                                        ₦11,000,000
                                                                            ",/ yr,Ikoyi,3 Beds / 3 Baths Flat To Rent,,Ikoyi
"
                                                                        ₦1,000,000
                                                                            ",/ yr,Ilupeju,2 Beds / 2 Baths Flat To Rent,,Ilupeju
"
                                                                        ₦2,800,000
                                                                            ",/ yr,Osapa Lekki Lagos,4 Beds / 4 Baths Terrace To Rent,,Osapa Lekki Lagos
"
                                                                        ₦650,000
                                                                            ",/ yr,Shangisha,2 Beds / 2 Baths Flat To Rent,,Shangisha
"
                                                                        ₦2,800,000
                                                                            ",/ yr,Osapa Lekki Lagos,4 Beds / 4 Baths Terrace To Rent,,Osapa Lekki Lagos
"
                                                                        ₦5,500,000
                                                                            ",/ yr,Glover Road,3 Beds / 3 Baths Flat To Rent,,Glover Road
"
                                                                        ₦2,300,000
                                                                            ",/ yr,Osapa Lekki Lagos,3 Beds / 3 Baths Flat To Rent,,Osapa Lekki Lagos
"
                                                                        ₦1,900,000
                                                                            ",/ yr,Ikota Villa Estate Lekki Lagos,3 Beds / 3 Baths Flat To Rent,,Ikota Villa Estate Lekki Lagos
"
                                                                        ₦650,000
                                                                            ",/ yr,"Ijesha, Lagos",2 Beds / 2 Baths Flat To Rent,,"Ijesha, Lagos"
"
                                                                        ₦250,000
                                                                            ",/ yr,Selewu Off Igbogbo Bayeku Road Ikorodu Lagos,2 Beds / 2 Baths Flat To Rent,,Selewu Off Igbogbo Bayeku Road Ikorodu Lagos
"
                                                                        ₦1,600,000
                                                                            ",/ yr,Ikota Villa Estate By Mega Chicken,3 Beds / 3 Baths Flat To Rent,,Ikota Villa Estate By Mega Chicken
"
                                                                        ₦750,000
                                                                            ",/ yr,Egbeda,2 Beds / 2 Baths Flat To Rent,,Egbeda
"
                                                                        ₦8,000,000
                                                                            ",/ yr,Banana Island,5 Beds / 4 Baths Terrace To Rent,,Banana Island
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Victoria Crest Off Orchid Hotel Road By Ikota,4 Beds / 4 Baths Semi Detached To Rent,,Victoria Crest Off Orchid Hotel Road By Ikota
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Off Bashir Eletu Road By Shoprite,4 Beds / 4 Baths Semi Detached To Rent,,Off Bashir Eletu Road By Shoprite
"
                                                                        ₦650,000
                                                                            ",/ yr,Campus Mini Stadium,1 Bed / 1 Bath Flat To Rent,,Campus Mini Stadium
"
                                                                        ₦50,000
                                                                            ",/ day,"1004 Housing Estate, Victoria Island, Lagos.",2 Beds / 2 Baths Flat To Rent,,"1004 Housing Estate, Victoria Island, Lagos."
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Ikota Estate,5 Beds / 5 Baths Duplex To Rent,,Ikota Estate
"
                                                                        ₦500,000
                                                                            ",/ yr,"Plot 18, Road 16, Ikota Villa Estate, Lekki, Lagos",1 Bed / 1 Bath Studio To Rent,,"Plot 18, Road 16, Ikota Villa Estate, Lekki, Lagos"
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Lekki Phase 1 Lagos,3 Beds / 3 Baths Flat To Rent,,Lekki Phase 1 Lagos
"
                                                                        ₦2,500,000
                                                                            ",/ yr,Lekki Phase 1 Lekki Lagos,2 Beds / 2 Baths Flat To Rent,,Lekki Phase 1 Lekki Lagos
"
                                                                        ₦5,000,000
                                                                            ",/ yr,"1004 Estate, Off Ademola Adetokunbo Street",3 Beds / 2 Baths Flat To Rent,,"1004 Estate, Off Ademola Adetokunbo Street"
"
                                                                        ₦5,000,000
                                                                            ",/ yr,"Temple Road, Ikoyi Lagos Nigeria",3 Beds / 3 Baths Block of Flats To Rent,,"Temple Road, Ikoyi Lagos Nigeria"
"
                                                                        ₦6,000,000
                                                                            ",/ yr,Save Court Estate Ikate Lekki Lagos,4 Beds / 4 Baths Flat To Rent,,Save Court Estate Ikate Lekki Lagos
"
                                                                        ₦3,200,000
                                                                            ",/ yr,Save Court Estate Ikate Lekki Lagos,3 Beds / 3 Baths Flat To Rent,,Save Court Estate Ikate Lekki Lagos
"
                                                                        ₦12,500,000
                                                                            ",/ yr,Ikoyi,3 Beds / 3 Baths Flat To Rent,,Ikoyi
"
                                                                        ₦1,500,000
                                                                            ",/ yr,Alapere,3 Beds / 2 Baths Terrace To Rent,,Alapere
"
                                                                        ₦5,500,000
                                                                            ",/ yr,Lekki Phase 1 Lekki Lagos,4 Beds / 4 Baths Terrace To Rent,,Lekki Phase 1 Lekki Lagos
"
                                                                        ₦1,500,000
                                                                            ",/ yr,Bera Estate Chevron,1 Bed / 1 Bath Flat To Rent,,Bera Estate Chevron
"
                                                                        ₦4,000,000
                                                                            ",/ yr,V G C Lekki Lagos,4 Beds / 4 Baths Terrace To Rent,,V G C Lekki Lagos
"
                                                                        ₦800,000
                                                                            ",/ yr,"Parkview, Ikoyi, Lagos",1 Bed / 1 Bath Flat To Rent,,"Parkview, Ikoyi, Lagos"
"
                                                                        ₦1,000,000
                                                                            ",/ yr,"Gbagada, Lagos",4 Beds / 4 Baths Flat To Rent,,"Gbagada, Lagos"
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Agungi Lekki,4 Beds / 4 Baths Duplex To Rent,,Agungi Lekki
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Chevy View Estate Lekki,4 Beds / 4 Baths Semi Detached To Rent,,Chevy View Estate Lekki
"
                                                                        ₦600,000
                                                                            ",/ yr,"Omole Estate, Ikeja",1 Bed / 1 Bath Flat To Rent,,"Omole Estate, Ikeja"
"
                                                                        ₦1,000,000
                                                                            ",/ yr,Lekki Lagos,2 Beds / 2 Baths Flat To Rent,,Lekki Lagos
"
                                                                        ₦2,000,000
                                                                            ",/ yr,Ikate Lekki Lagos,2 Beds / 2 Baths Flat To Rent,,Ikate Lekki Lagos
"
                                                                        ₦250,000
                                                                            ",/ yr,Alagbole Akute Road,1 Bed / 1 Bath Flat To Rent,,Alagbole Akute Road
"
                                                                        ₦2,500,000
                                                                            ",/ yr,Osapa Lekki,3 Beds / 3 Baths Flat To Rent,,Osapa Lekki
"
                                                                        ₦2,000,000
                                                                            ",/ yr,"Peace Garden City Estate, By Crown Estate, Ajah-Lagos.",4 Beds / 4 Baths Duplex To Rent,,"Peace Garden City Estate, By Crown Estate, Ajah-Lagos."
