price,unit,location,bedrooms,baths,state
"₦120,000,000.00 ","₦120,000,000.00 ",", Awoniyi Street, Isolo, Ajao, Ikeja, Lagos, Nigeria",5,6f,
"₦100,000,000.00 ","₦100,000,000.00 ",", Victoria Garden City, Ajah, Lekki, Lagos, Nigeria",4,7f,
"₦1,800,000.00 ","₦1,800,000.00 ",", Crystal Park Estate, Mowe, Ogun, Nigeria",0,,
"₦600,000,000.00 ","₦600,000,000.00 ",", Banana Island, Parkview/Bourdillon, Ikoyi, Lagos, Nigeria",0,,
"₦650,000,000.00 ","₦650,000,000.00 ",", behind Punch Newspapers, Magboro, Ogun, Nigeria",,,
"₦225,000,000.00 ","₦225,000,000.00 ",", Jakande close, Oniru, Lagos, Nigeria",0,,
"₦45,000,000.00 ","₦45,000,000.00 ",", Ikota Villa Estate, Ikota, Lekki, Lagos, Nigeria",5,5f,
"₦130,000.00 Per day","₦130,000.00 Per day",", KUDIRAT ABIOLA WAY OREGUN, Ikeja, Lagos, Nigeria",,,
"₦1,500,000.00 Per Year","₦1,500,000.00 Per Year",", OJUELEGBA ROAD, Surulere, Lagos, Nigeria",,,
"₦70,000,000.00 ","₦70,000,000.00 ",", Airport Road, Warri South, Delta, Nigeria",3,3f,
"₦70,000,000.00 ","₦70,000,000.00 ",", Ogabi Street, Old Yaba, Yaba, Lagos, Nigeria",3,2f,
"₦35,000,000.00 ","₦35,000,000.00 ",", Ajidagba street off Tokunbo Macaulay, Magodo Phase 2, Magodo, Lagos, Nigeria",0,,
"₦65,000,000.00 ","₦65,000,000.00 ",", Ocean Bay estate, Alpha beach/Lafiaji road, off Le, Ikota, Lekki, Lagos, Nigeria",4,4f,
"₦35,000,000.00 ","₦35,000,000.00 ",", Ocean Bay estate, Alpha beach/Lafiaji road, off Le, Ikota, Lekki, Lagos, Nigeria",3,3f,
"₦9,000,000.00 ","₦9,000,000.00 ",", Beechwood Estate, Lakowe, Lekki, Lagos, Nigeria",0,,
"₦16,000,000.00 ","₦16,000,000.00 ",", Texaco Estate, Ajah, Lekki, Lagos, Nigeria",0,,
"₦50,000,000.00 ","₦50,000,000.00 ",", Itowolo, Ikorodu Road, Lagos, Nigeria",,,
"₦16,000,000.00 ","₦16,000,000.00 ",", Texaco Estate, Ajah, Lekki, Lagos, Nigeria",0,,
"₦37,000,000.00 ","₦37,000,000.00 ",", Seaside Estate, Ajah, Lekki, Lagos, Nigeria",4,0f,
"₦30,000,000.00 ","₦30,000,000.00 ",", Ogudu GRA, Ogudu, Lagos, Nigeria",0,,
"₦25,000,000.00 ","₦25,000,000.00 ",", off Shyllon / Awoyokun Street, Palmgroove, Shomolu, Lagos, Nigeria",0,,
